time,x,y,z,qw,qx,qy,qz
0.000000,-0.593723,-0.133300,0.649300,0.707105,0.001461,-0.001461,-0.707105
0.025000,-0.593719,-0.133310,0.649300,0.707114,0.001467,-0.001459,-0.707096
0.050000,-0.593693,-0.133381,0.649302,0.707176,0.001508,-0.001441,-0.707034
0.075000,-0.593623,-0.133568,0.649308,0.707340,0.001616,-0.001395,-0.706871
0.100000,-0.593490,-0.133922,0.649319,0.707650,0.001821,-0.001307,-0.706560
0.125000,-0.593276,-0.134491,0.649336,0.708148,0.002149,-0.001166,-0.706060
0.150000,-0.592966,-0.135319,0.649361,0.708871,0.002627,-0.000961,-0.705332
0.175000,-0.592544,-0.136442,0.649396,0.709852,0.003276,-0.000683,-0.704343
0.200000,-0.591999,-0.137898,0.649440,0.711119,0.004116,-0.000322,-0.703060
0.225000,-0.591317,-0.139715,0.649495,0.712698,0.005166,0.000128,-0.701452
0.250000,-0.590489,-0.141922,0.649562,0.714608,0.006440,0.000675,-0.699495
0.275000,-0.589506,-0.144541,0.649642,0.716868,0.007952,0.001323,-0.697163
0.300000,-0.588362,-0.147593,0.649735,0.719488,0.009714,0.002080,-0.694434
0.325000,-0.587048,-0.151094,0.649842,0.722478,0.011735,0.002947,-0.691288
0.350000,-0.585561,-0.155058,0.649962,0.725843,0.014023,0.003929,-0.687707
0.375000,-0.583898,-0.159494,0.650097,0.729582,0.016582,0.005027,-0.683674
0.400000,-0.582054,-0.164409,0.650247,0.733692,0.019418,0.006244,-0.679176
0.425000,-0.580029,-0.169807,0.650412,0.738168,0.022531,0.007581,-0.674198
0.450000,-0.577822,-0.175689,0.650591,0.742997,0.025922,0.009037,-0.668731
0.475000,-0.575435,-0.182054,0.650784,0.748167,0.029589,0.010611,-0.662766
0.500000,-0.572868,-0.188898,0.650993,0.753660,0.033529,0.012303,-0.656293
0.525000,-0.570123,-0.196214,0.651216,0.759457,0.037738,0.014111,-0.649309
0.550000,-0.567206,-0.203992,0.651452,0.765534,0.042208,0.016031,-0.641810
0.575000,-0.564118,-0.212222,0.651703,0.771866,0.046933,0.018060,-0.633793
0.600000,-0.560867,-0.220890,0.651967,0.778427,0.051903,0.020195,-0.625260
0.625000,-0.557457,-0.229981,0.652244,0.785186,0.057107,0.022432,-0.616213
0.650000,-0.553895,-0.239478,0.652533,0.792113,0.062533,0.024764,-0.606658
0.675000,-0.550187,-0.249361,0.652834,0.799175,0.068169,0.027186,-0.596602
0.700000,-0.546343,-0.259609,0.653146,0.806339,0.073999,0.029693,-0.586054
0.725000,-0.542370,-0.270202,0.653468,0.813572,0.080010,0.032277,-0.575028
0.750000,-0.538276,-0.281114,0.653801,0.820838,0.086183,0.034932,-0.563539
0.775000,-0.534072,-0.292321,0.654142,0.828105,0.092503,0.037650,-0.551605
0.800000,-0.529768,-0.303797,0.654491,0.835338,0.098951,0.040424,-0.539245
0.825000,-0.525372,-0.315514,0.654848,0.842503,0.105509,0.043246,-0.526484
0.850000,-0.520897,-0.327445,0.655211,0.849570,0.112158,0.046108,-0.513347
0.875000,-0.516352,-0.339561,0.655580,0.856507,0.118878,0.049001,-0.499863
0.900000,-0.511749,-0.351831,0.655954,0.863285,0.125650,0.051916,-0.486061
0.925000,-0.507100,-0.364226,0.656331,0.869877,0.132453,0.054846,-0.471976
0.950000,-0.502415,-0.376715,0.656712,0.876258,0.139268,0.057782,-0.457643
0.975000,-0.497707,-0.389266,0.657094,0.882405,0.146074,0.060715,-0.443099
1.000000,-0.492987,-0.401850,0.657477,0.888298,0.152854,0.063636,-0.428383
1.025000,-0.488267,-0.414433,0.657860,0.893920,0.159586,0.066538,-0.413536
1.050000,-0.483558,-0.426984,0.658242,0.899255,0.166253,0.069413,-0.398600
1.075000,-0.478874,-0.439473,0.658623,0.904292,0.172837,0.072252,-0.383619
1.100000,-0.474224,-0.451868,0.659000,0.909021,0.179320,0.075049,-0.368636
1.125000,-0.469621,-0.464138,0.659374,0.913438,0.185685,0.077795,-0.353696
1.150000,-0.465077,-0.476254,0.659742,0.917538,0.191917,0.080485,-0.338843
1.175000,-0.460601,-0.488185,0.660106,0.921321,0.198000,0.083111,-0.324123
1.200000,-0.456206,-0.499902,0.660463,0.924791,0.203922,0.085668,-0.309579
1.225000,-0.451901,-0.511378,0.660812,0.927951,0.209670,0.088151,-0.295255
1.250000,-0.447697,-0.522585,0.661153,0.930809,0.215231,0.090553,-0.281195
1.275000,-0.443604,-0.533498,0.661485,0.933375,0.220596,0.092872,-0.267439
1.300000,-0.439630,-0.544090,0.661808,0.935660,0.225755,0.095101,-0.254027
1.325000,-0.435786,-0.554339,0.662120,0.937679,0.230700,0.097239,-0.240998
1.350000,-0.432079,-0.564221,0.662421,0.939445,0.235424,0.099282,-0.228388
1.375000,-0.428517,-0.573718,0.662710,0.940975,0.239922,0.101228,-0.216230
1.400000,-0.425106,-0.582809,0.662987,0.942287,0.244189,0.103074,-0.204556
1.425000,-0.421855,-0.591477,0.663251,0.943397,0.248221,0.104818,-0.193395
1.450000,-0.418768,-0.599707,0.663501,0.944325,0.252015,0.106461,-0.182772
1.475000,-0.415850,-0.607485,0.663738,0.945088,0.255571,0.108000,-0.172709
1.500000,-0.413106,-0.614801,0.663961,0.945705,0.258889,0.109437,-0.163227
1.525000,-0.410539,-0.621645,0.664169,0.946193,0.261968,0.110770,-0.154342
1.550000,-0.408151,-0.628010,0.664363,0.946571,0.264811,0.112001,-0.146065
1.575000,-0.405944,-0.633892,0.664542,0.946854,0.267419,0.113131,-0.138405
1.600000,-0.403920,-0.639290,0.664707,0.947058,0.269797,0.114162,-0.131368
1.625000,-0.402076,-0.644205,0.664856,0.947198,0.271949,0.115094,-0.124955
1.650000,-0.400412,-0.648641,0.664991,0.947286,0.273881,0.115931,-0.119162
1.675000,-0.398925,-0.652605,0.665112,0.947334,0.275598,0.116676,-0.113981
1.700000,-0.397612,-0.656106,0.665219,0.947352,0.277107,0.117330,-0.109402
1.725000,-0.396467,-0.659158,0.665312,0.947350,0.278418,0.117898,-0.105408
1.750000,-0.395484,-0.661777,0.665391,0.947335,0.279539,0.118384,-0.101979
1.775000,-0.394657,-0.663984,0.665459,0.947312,0.280480,0.118793,-0.099089
1.800000,-0.393975,-0.665801,0.665514,0.947287,0.281254,0.119128,-0.096709
1.825000,-0.393429,-0.667257,0.665558,0.947262,0.281872,0.119396,-0.094802
1.850000,-0.393007,-0.668380,0.665593,0.947240,0.282348,0.119602,-0.093329
1.875000,-0.392697,-0.669208,0.665618,0.947223,0.282698,0.119754,-0.092245
1.900000,-0.392484,-0.669777,0.665635,0.947210,0.282939,0.119859,-0.091499
1.925000,-0.392351,-0.670131,0.665646,0.947202,0.283089,0.119924,-0.091034
1.950000,-0.392281,-0.670318,0.665652,0.947198,0.283168,0.119958,-0.090789
1.975000,-0.392254,-0.670389,0.665654,0.947196,0.283198,0.119971,-0.090697
2.000000,-0.392250,-0.670399,0.665654,0.947196,0.283202,0.119973,-0.090683
